　どこで	生れたか
心持が	する
吾輩は	念じた
誰も	来てくれない
吾輩は	食わなければならぬ
重量を	落すようにして、
力を	込めて
一辺	噛み直そうとすると
魔物だなと	疳づいた
沼へでも	落ちた
歯答えは	あるが、
美学者迷亭先生が	評して
餅も	割り切れない
三で	割るごとく
際	逢着した
動物は	予知す」
歯が	吸収されて、
御三が	来る
唱歌も	やんだようだ、
極尻尾を	ぐるぐる振って
立て損の、	寝かし損であると
事これは	限ると
方を	あげて
今度は	見る
呪いで	落ちない
肝心だと	思って
面倒だと	使う
事に	出来た
感じが	する
猫であろうが、	引っ掻き廻す
猛烈なので	倒れかかる
たびに	とらなくてはならぬから、
我ながら	起っていられた
真理が	現前する
「危きに	臨めば
天祐という」幸に	戦っていると、
ここで	来られては
足音は	近付いてくる
残念だが	足りない
小供に	見付けられた
「あら猫が	食べて
声を	聞きつけたのが
羽子板も	打ち遣って
細君は	仰せられる
主人さえ	出て来て
みんな	申し合せたように
腹は	立つ、
笑いが	やみそうになったら、
実行も	大分見聞したが、
天祐も	消え失せて、
見殺しに	するのも
御三は	見る
細君は	見たいが、
主人は	顧みる
御三は	引く
寒月君じゃないが	思った
痛くないのって、	引張るのだから
吾輩が	経験して、
失敗を	した
事気を	易えて
吾輩は	心得ている
うちで	見たり、
心が	晴々して
隙から、	いるかなと
丸さ加減が	言うに
美を	尽している
尻尾の	曲がり加減、
日の	当る
吾輩は	眺めていたが、
三毛子は	下りる
首輪に	つけた
正月に	なったら
吾等猫属間で	する
町内で	呼んでくれるのは
前回	断わった
吾輩も	云われて
立派に	出来ましたね」
音ですな、	生れてから、
ゃらちゃらちゃらちゃら続け様に	鳴らす
御師匠さんは	可愛がっていると
三毛子は	笑う
猫だって	笑わないとは
人間は	思っているのは
吾輩が	笑うのは
御師匠さんよ」	知っていますがね
　　君を	待つ
内で	弾き出す
「宜い声でしょう」と	自慢する
吾輩には	わからん
ものですか」	「あれ？
六十二で	生きている
吾輩は	した
間が	抜けたようだが
いつでも	おっしゃるの」
御嫁に	いった……」
「御嫁に	行った」
御嫁に	入った
混雑して	得ないですよ
ところ	なるんですか」
御嫁に	行った
吾々は	ある
中で	やむと、
「あら御師匠さんが	呼んでいらっしゃるから、
「それじゃまた	いらっしゃい」と
心配そうに	問いかける
雑煮を	食って
あなたと	話しでも
御大事に	なさいまし
気に	見えた
これで	回復した
心持に	なった
帰りに	通り抜けようと
黒を	見て
性質として	軽侮したと
乙う	高く留ってるじゃあねえか
飯を	食ったって、
面白くもねえ」黒は	有名になったのを、
挨拶を	して
尻尾を	立てて
黒は	しない
「何	おめでてえ？
ざあ年が	おめでて
気を	つけろい、
伺が	うが吹い
ため	聞いておきたいが、
声を	張り揚げて
畜生が	取ったんだよ
猫だっちゃありゃ	あしない
今に	帰って来たら、
空気を	震動させて、
黒は	怒鳴るなら、
今までは	つかなかったが、
「君	やってるな」と
黒は	直さない
「何が	やってるでえ、
しゃけの	相変らずた
人を	見縊
代りに	掻き上げた
「君が	云う
熱いのを	吹き懸ける
人間なら	とられて
辟易して	困った
用が	あるんだよ
牛肉を	持って来るんだよ
一斤だよ」と	破る
「へん年に	誂えると
一斤が	隣り
吾輩は	見ている
「一斤くらいじゃあ、	出来ねえんだが、
吾輩は	帰そうとする
「御めっちの	知った
後足で	崩れた
吾輩が	驚ろいて、
牛を	行った
　家へ	帰ると
椽側から	上って
頭を	分けて、
主人の	手あぶりの
途中からであるから	分らんが、
趣向が	あるから
「何ですか、	食うのについて
趣向というのが、	分らなかったんですが、
茶番	見たような
癖でね」と	思い出す
君	変った
過去に	見立てた
客はさまで	感服した
私はまた	洋行なさったかと
それに	見て来たように
気色にも	取られる
それなんですね」と	押す
主人は	挟む
蛙は	食えやしないから、
主人は	聞く
謝罪には	おらん
ボイに	持って来いと
料理は	あるんですか」
トチメンボーを	都合して
ボイが	出て来て、
ごもっともだか	わからん
気の毒だと	見えて、
先生が	使うかねと
材料は	云いましたよ」
膝が	揺れて
主人は	笑う
アンドレア・デル・サルトに	罹ったのは
「それから	出ると、
至りですと	云って
咽喉を	鳴らす
東風君は	改まる
御用で」と	負けずに
「結構で」と	注す
「同志だけが	よりまして
近松と	いえば
それを	聞き直す
藪睨みから	惚れられたと
東風子は	窺う
「それじゃ	朗読するのですか、または
主意は	添えます
白は	やるんです」
鼻から	吹き出した
主人は	したが、
下婢に	あたる
茶屋に	隷属する
見番と	云うのは
内	調べて
朗読家は	加わったんですか」
口髯を	生やして、
花魁が	起す
大事ですから」と	いる
癪が	起りましたか」と
無理でした」と	吐く
役割でした」と	聞く
君が	して
無理でしたか」と	打ち明ける
癪に	障った
口調で	終りました
会場の	隣りに
私しが	使って、
咽喉仏が	鳴る
主人は	撫でてくれる
人を	笑って
事で」と	述べている
「第二回からは、	やるつもりなので、
名簿が」と	云いながら
「これへ	願いたいので」と
名が	している
「はあ賛成員に	ならん
「義務と	申して
事が	分って
加之	列ねている
失敬」と	這入る
吾輩は	落ちる
東風子は	頬張る
吾輩は	思い出す
主人が	出て来た
主人は	着かぬらしい
気が	つくと
　東風子が	帰ってから、
真面目だと	思う
この間などは	云うのが
それに	較べると
「一寸参堂仕り度	候えども、
事だから	しいに違いないと、
ひまを	偸み、
通りに	なって来たと
主人は	読みとばす
主人は	する
久し振りにて	供し
珍味も	無之候えども、
トチメンボーを	振り廻している
失敬なと	むっとする
トチメンボーは	計りがたきにつき、
　両天秤を	かけたなと
通り	つき、
うそを	打ち遣ったように
所	見受け候えども、
　独りで	苦心しているのじゃないかと
一時	流行致し
宴席に	欠くべからざる
レスター伯が	招待致し
レンブラントが	画き
かくくらいなら、	こぼす
如く御馳走の	食べ続けにては、
何も	しなくても
説に	よれば
日に	就き候えば
衛生とを	両立せし
主人は	熱心になる
方法に	よりて
功を	奏したる
かくの	如くすれば
主人は	する
増加は	申す迄もなく、
大国民も	心痛罷りあり
癪に	障る
事情に	通ずる
妙だなと	捻る
此間中より	居候えども
性質に	候えば
右は	つき、
右発見後に	致し
ものだから	読んでいた
新年匆々	やる
四五日は	過ぎ去った
水仙が	凋んで、
最初は	思ったが、
中で	しているのを
「三毛は	たべるかい」
取扱を	受けている
境遇と	比べて
御飯を	たべないと、
　下女は	する
家では	大切かも知れない
「御医者様へ	連れて行ったの
私が	行くと、
これで	すって
腹が	立ったから、
うちなどで	聞かれる
雅であると	感心した
云うようだが……」	痛むんでございますよ
風邪を	引くと、
下女だけに	使う
近頃は	出来てのう」
　下女は	感動している
「風邪を	引くと
秘密でも	語る
所に	いる
　鵝鳥が	絞め殺されるような
主人は	ある
時は	やる
時も	やる
細君の	話しでは
癖であるが、	つかん
それも	聞く
声を	出して
もので、	おらなかったよ」
　下女は	使用する
主人を	持っている
冤罪を	蒙った
